Education,Industry,JobTitle,Location,ExperienceYears,Certifications,SalaryUSD,PreviousCompanies,Age,Gender,RemoteOnsite,CompanySize,AdditionalBenefits
Bachelors,Consulting,Data Engineer,Sri Lanka,16,1,30900,5,41,Male,Remote,39,Retirement;Gym
Diploma,Healthcare,Software Engineer,UK,12,4,154572,2,36,Male,Onsite,60788,FlexibleHours;Retirement
Masters,Tech,Senior Software Engineer,USA,19,0,390033,10,42,Female,Onsite,10069,Gym
Masters,Consulting,Software Engineer,Sri Lanka,13,2,25073,5,37,Female,Onsite,747,Retirement
Bachelors,Consulting,Software Engineer,India,14,3,39515,6,37,Male,Onsite,124,Retirement;FlexibleHours
Bachelors,Consulting,Data Scientist,India,16,2,90078,9,38,Male,Hybrid,16184,Bonus
Bachelors,Retail,Software Engineer,India,2,4,27227,0,24,Female,Onsite,134,None
PhD,Retail,Software Architect,USA,20,5,589237,12,45,Male,Hybrid,11200,FlexibleHours
Masters,Consulting,Fullstack Developer,USA,9,4,165063,5,35,Male,Remote,23,HealthInsurance
Masters,Consulting,Data Scientist,Australia,12,3,392338,4,36,Non-binary,Remote,39707,HealthInsurance
Bachelors,Tech,Fullstack Developer,USA,9,0,245134,2,33,Male,Remote,495,StockOptions
Diploma,Tech,Fullstack Developer,India,15,3,77725,4,38,Female,Remote,63054,HealthInsurance
Masters,Healthcare,Software Engineer,USA,11,2,248572,5,35,Male,Remote,111798,Gym
Bachelors,Healthcare,Fullstack Developer,USA,13,4,243050,3,37,Male,Remote,828,Bonus
Bachelors,Retail,Senior Software Engineer,Sri Lanka,2,0,40210,1,27,Male,Remote,77850,StockOptions;CommuterSupport
Bachelors,Finance,Senior Software Engineer,Sri Lanka,15,1,34049,6,42,Female,Onsite,225,Bonus;Gym
Bachelors,Tech,Software Engineer,UK,16,4,153852,5,38,Female,Hybrid,5109,FlexibleHours
Bachelors,Healthcare,Software Engineer,Sri Lanka,16,4,26943,6,37,Female,Onsite,1473,FlexibleHours
Bachelors,Tech,Data Engineer,USA,0,1,211636,0,22,Male,Onsite,3080,None
Bachelors,Tech,Fullstack Developer,India,8,1,52756,4,36,Male,Remote,238,StockOptions;Retirement
Masters,Finance,Senior Software Engineer,India,3,3,72432,2,28,Female,Remote,8146,Gym;Bonus
Bachelors,Tech,Software Engineer,India,5,2,41184,0,27,Male,Hybrid,14,FlexibleHours;StockOptions
Bachelors,Finance,Software Engineer,UK,19,1,105764,7,44,Female,Hybrid,11,FlexibleHours;HealthInsurance
Bachelors,Finance,Software Engineer,India,7,3,38393,2,32,Male,Remote,13,Bonus
Bachelors,Tech,Software Engineer,Australia,1,0,147175,0,23,Male,Remote,21114,Retirement
Masters,Tech,Senior Software Engineer,Sweden,20,5,239197,5,44,Male,Onsite,245,None
Bachelors,Healthcare,Data Engineer,USA,20,0,323073,9,45,Male,Remote,3892,Retirement;FlexibleHours
Bachelors,Tech,Senior Software Engineer,Sri Lanka,10,0,27814,4,33,Male,Onsite,32,HealthInsurance;Bonus;Retirement
Masters,Tech,Software Engineer,Germany,1,4,114766,2,25,Male,Remote,95,Bonus;CommuterSupport
Bachelors,Tech,Fullstack Developer,UK,13,3,286281,9,39,Male,Remote,89606,Bonus
Masters,Healthcare,Software Engineer,USA,3,2,143321,3,27,Female,Remote,6199,None
Bachelors,Finance,Data Engineer,USA,14,1,309146,4,39,Female,Remote,1677,Gym
Bachelors,Healthcare,Software Engineer,India,17,1,37076,9,40,Male,Remote,66,Retirement
Diploma,Tech,Data Engineer,India,17,4,57656,11,46,Male,Hybrid,250,None
Diploma,Consulting,Software Engineer,India,17,3,29636,9,45,Male,Onsite,10,Retirement
Masters,Tech,Data Engineer,India,14,0,102400,5,35,Female,Hybrid,25029,HealthInsurance;Retirement
Bachelors,Healthcare,Data Engineer,Australia,3,5,120805,4,29,Male,Onsite,50,FlexibleHours
Bachelors,Healthcare,Lead Engineer,Australia,18,1,394882,9,40,Female,Remote,41736,Bonus
Masters,Retail,Software Engineer,India,14,0,46929,7,40,Male,Hybrid,20005,None
Bachelors,Consulting,Lead Engineer,India,4,0,48951,1,32,Male,Onsite,777,CommuterSupport
Bachelors,Healthcare,Software Architect,USA,7,3,422749,0,33,Male,Hybrid,51891,StockOptions
Bachelors,Finance,Software Engineer,India,20,3,66049,8,47,Male,Remote,21189,HealthInsurance
Bachelors,Tech,Fullstack Developer,USA,4,4,125501,3,30,Male,Onsite,22,CommuterSupport
Diploma,Finance,Software Engineer,India,10,5,41596,2,36,Male,Remote,389,CommuterSupport
Bachelors,Healthcare,Senior Software Engineer,India,5,2,47619,2,30,Female,Onsite,8753,Retirement
Masters,Healthcare,Data Engineer,Sweden,12,4,267767,2,35,Female,Hybrid,1922,Bonus;FlexibleHours
Bachelors,Finance,Lead Engineer,India,14,1,113048,5,39,Female,Onsite,83354,FlexibleHours
Bachelors,Finance,Data Engineer,India,15,1,80224,10,39,Female,Remote,2681,Gym
Bachelors,Retail,Data Scientist,India,11,4,76921,0,35,Non-binary,Remote,27643,Gym;Bonus
Bachelors,Tech,Data Scientist,UK,1,3,149370,0,27,Male,Remote,1069,None
Diploma,Finance,Software Architect,USA,16,1,310411,3,41,Male,Remote,41,Gym
Masters,Tech,Senior Software Engineer,India,11,3,60073,5,40,Female,Remote,135,Gym
Diploma,Consulting,Senior Software Engineer,USA,8,4,226849,5,34,Male,Onsite,28958,Bonus
PhD,Healthcare,Software Engineer,India,15,4,77258,6,41,Female,Remote,9771,HealthInsurance
Masters,Finance,Data Engineer,USA,4,1,352018,2,31,Female,Remote,95934,Bonus
Diploma,Consulting,Senior Software Engineer,Sweden,8,0,134314,4,30,Male,Hybrid,129,HealthInsurance
Bachelors,Healthcare,Data Scientist,Australia,17,5,284269,5,42,Male,Hybrid,4430,FlexibleHours
Bachelors,Retail,Lead Engineer,USA,4,2,185255,4,28,Male,Remote,75,CommuterSupport;FlexibleHours
Bachelors,Healthcare,Senior Software Engineer,UK,11,3,207977,3,33,Female,Onsite,17116,None
Bachelors,Finance,Data Engineer,UK,11,2,334807,4,32,Male,Onsite,138385,HealthInsurance;Bonus
Bachelors,Consulting,Software Engineer,India,8,2,53010,3,34,Male,Hybrid,45414,HealthInsurance
Bachelors,Consulting,Software Engineer,India,13,4,52611,3,40,Female,Hybrid,101,StockOptions
Masters,Consulting,Data Engineer,USA,11,4,271827,6,36,Male,Onsite,155,StockOptions;FlexibleHours
Bachelors,Healthcare,Software Engineer,Australia,13,4,166700,9,37,Male,Remote,3395,FlexibleHours
Bachelors,Tech,Fullstack Developer,USA,19,3,271899,7,45,Female,Onsite,18686,Bonus
Bachelors,Tech,Software Engineer,Sri Lanka,2,2,23940,2,25,Male,Remote,469,HealthInsurance
Bachelors,Healthcare,Data Engineer,India,6,2,63329,2,31,Male,Onsite,19839,Gym
Masters,Finance,Data Engineer,Sweden,20,5,373093,6,41,Male,Onsite,6237,FlexibleHours
Bachelors,Healthcare,Fullstack Developer,India,3,4,53404,1,27,Male,Remote,6334,FlexibleHours
Diploma,Tech,Software Architect,India,1,0,63778,1,28,Female,Remote,17434,CommuterSupport
Masters,Healthcare,Senior Software Engineer,Germany,11,4,303642,4,39,Male,Remote,29687,FlexibleHours
Bachelors,Consulting,Fullstack Developer,USA,1,4,154111,1,28,Male,Remote,232,Retirement;Bonus
Bachelors,Finance,Software Engineer,India,11,1,51576,7,35,Female,Remote,5054,Gym
Masters,Finance,Fullstack Developer,UK,8,4,266277,4,33,Female,Onsite,21820,StockOptions
Masters,Retail,Software Architect,Germany,0,3,233819,2,27,Female,Remote,6690,FlexibleHours
Masters,Healthcare,Fullstack Developer,Sri Lanka,4,2,31627,4,29,Male,Remote,19892,CommuterSupport
Masters,Consulting,Software Engineer,India,11,4,71028,6,36,Female,Remote,37958,CommuterSupport
Bachelors,Healthcare,Software Engineer,UK,20,0,155080,8,45,Male,Hybrid,7400,FlexibleHours;HealthInsurance
Bachelors,Retail,Senior Software Engineer,India,14,2,39398,6,40,Male,Onsite,12,Gym;CommuterSupport
Bachelors,Retail,Software Engineer,India,7,2,30951,2,32,Male,Onsite,15,Bonus
PhD,Healthcare,Lead Engineer,India,6,0,88326,5,29,Male,Remote,2275,Bonus;CommuterSupport
Masters,Healthcare,Senior Software Engineer,Germany,3,1,160523,2,30,Male,Remote,5213,Bonus
Bachelors,Healthcare,Software Engineer,UK,20,5,166055,4,41,Male,Onsite,22355,None
Bachelors,Tech,Fullstack Developer,India,18,0,73135,6,45,Female,Hybrid,31245,None
Bachelors,Retail,Fullstack Developer,USA,6,3,177111,1,31,Male,Hybrid,211,Retirement;FlexibleHours
Bachelors,Finance,Fullstack Developer,Australia,1,0,183887,1,25,Male,Onsite,20862,CommuterSupport;Retirement;FlexibleHours
Masters,Tech,Software Engineer,Sri Lanka,19,5,40525,10,48,Male,Onsite,30535,FlexibleHours;HealthInsurance
Masters,Consulting,Senior Software Engineer,UK,9,1,265576,3,38,Male,Onsite,85679,HealthInsurance;FlexibleHours
PhD,Finance,Software Engineer,Sweden,2,4,127036,1,24,Male,Remote,186,CommuterSupport;Retirement
Bachelors,Finance,Data Engineer,USA,7,4,238537,6,35,Male,Remote,171,Gym;Bonus
Bachelors,Finance,Fullstack Developer,USA,19,2,263921,4,42,Male,Hybrid,776,HealthInsurance
Masters,Retail,Data Engineer,India,8,4,50283,4,29,Male,Onsite,200,HealthInsurance
Masters,Consulting,Lead Engineer,India,9,4,98389,6,32,Male,Hybrid,16497,FlexibleHours;Gym
